time,data
0,-83.6972865284215
0.025,-83.6972868592111
0.05,-83.6972871889255
0.075,-83.6972875169104
0.1,-83.6972878427035
0.125,-83.697288165978
0.15,-83.6972884865032
0.175,-83.697288804116
0.2,-83.6972891199023
0.225,-83.6972894340263
0.25,-83.697289746363
0.275,-83.697290056641
0.3,-83.6972903651692
0.325,-83.69729067157
0.35,-83.6972909759015
0.375,-83.6972912775028
0.4,-83.6972915761268
0.425,-83.6972918708476
0.45,-83.697292160617
0.475,-83.6972924444082
0.5,-83.6972927220103
0.525,-83.6972929925035
0.55,-83.6972932548878
0.575,-83.6972935082097
0.6,-83.6972937523782
0.625,-83.6972939865438
0.65,-83.6972942103085
0.675,-83.6972944226827
0.7,-83.697294622637
0.725,-83.6972948092231
0.75,-83.697294982173
0.775,-83.6972951407307
0.8,-83.6972952841462
0.825,-83.6972954117579
0.85,-83.6972955230218
0.875,-83.6972956175302
0.9,-83.6972956949856
0.925,-83.6972957552145
0.95,-83.6972957981355
0.975,-83.697295823742
1,-83.6972958320605
1.025,-83.6972958231947
1.05,-83.6972957972875
1.075,-83.6972957545107
1.1,-83.6972956950009
1.125,-83.6972956189629
1.15,-83.6972955265583
1.175,-83.6972954180096
1.2,-83.6972952935104
1.225,-83.6972951532874
1.25,-83.6972949975692
1.275,-83.6972948265815
1.3,-83.6972946404705
1.325,-83.6972944394364
1.35,-83.6972942236004
1.375,-83.6972939931453
1.4,-83.6972937482605
1.425,-83.6972934891349
1.45,-83.6972932158189
1.475,-83.6972929284539
1.5,-83.6972926271939
1.525,-83.6972923121957
1.55,-83.6972919835212
1.575,-83.6972916412927
1.6,-83.6972912856414
1.625,-83.6972909167017
1.65,-83.6972905344949
1.675,-83.6972901391141
1.7,-83.6972897306302
1.725,-83.6972893091371
1.75,-83.6972888747345
1.775,-83.6972884275244
1.8,-83.6972879675885
1.825,-83.6972874950144
1.85,-83.697287009891
1.875,-83.6972865123077
1.9,-83.6972860023338
1.925,-83.6972854800448
1.95,-83.6972849455177
1.975,-83.6972843988306
2,-83.6972838397131
2.025,-83.6972832682176
2.05,-83.6972826844692
2.075,-83.6972820886232
2.1,-83.6972814800149
2.125,-83.6972808587538
2.15,-83.6972802245795
2.175,-83.6972795778044
2.2,-83.6972789188585
2.225,-83.6972782481935
2.25,-83.6972775657147
